    year   area_ha age_yrs
1   2015   2.40000       4
2   2015   9.70000       4
3   2015  11.30000       4
4   2015  19.90000       4
5   2015  21.70000       4
6   2015  25.93000       4
7   2015   3.90000       5
8   2015   8.10000       5
9   2015  26.10000       5
10  2015  29.00000       5
11  2015   6.80000       6
12  2015  13.20000       6
13  2015  14.10000       6
14  2015  15.10000       6
15  2015  72.00000       6
16  2015   4.90000       7
17  2015   5.50000       7
18  2015  18.00000       7
19  2015  25.20000       7
20  2015  41.20000       7
21  2015  47.10000       7
22  2015  10.80000       9
23  2015  16.00000       9
24  2015 117.80000       9
25  2015  12.10000      12
26  2015  19.80000      12
27  2015   4.30000      13
28  2015  13.00000      15
29  2015   2.60000      16
30  2015  18.00000      16
31  2015  21.60000      16
32  2015  23.00000      16
33  2015  23.60000      16
34  2015  31.80000      16
35  2015  35.80000      16
36  2015   8.50000      17
37  2015  10.70000      17
38  2015  15.00000      17
39  2015  17.40000      17
40  2015  18.30000      17
41  2015  18.40000      17
42  2015   0.60000      18
43  2015   4.40000      18
44  2015   5.40000      18
45  2015   6.20000      18
46  2015   9.80000      18
47  2015   6.10000      19
48  2015   7.90000      19
49  2015  15.20000      20
50  2015  16.00000      21
51  2015  19.30000      21
52  2015   2.70000      22
53  2015   5.90000      22
54  2015   7.30000      22
55  2015   1.50000      23
56  2015   9.30000      23
57  2015  10.90000      23
58  2015  11.60000      23
59  2015  16.80000      23
60  2015   7.80000      25
61  2015  27.00000      25
62  2015  57.60000      26
63  2015   3.90000      27
64  2015  20.00000      27
65  2015  29.50000      27
66  2015  32.10000      27
67  2015  41.80000      27
68  2015  43.70000      27
69  2015  13.40000      28
70  2015  16.20000      28
71  2015  47.80000      28
72  2015   4.20000      29
73  2015  25.90000      29
74  2015  17.40000      32
75  2015  17.80000      34
76  2015  21.00000      35
77  2015   1.00000      36
78  2015   1.70000      41
79  2015   0.70000      42
80  2016   4.70000       3
81  2016  14.80000       3
82  2016   3.40000       4
83  2016  14.46000       4
84  2016  25.30000       4
85  2016   1.50000       6
86  2016  14.60000       6
87  2016  36.30000       6
88  2016   4.60000       7
89  2016  45.50000       7
90  2016   0.30000       8
91  2016   5.20000       8
92  2016  64.60000      12
93  2016 257.00000      13
94  2016  17.50000      15
95  2016  17.50000      15
96  2016  17.50000      15
97  2016  18.20000      15
98  2016  56.60000      15
99  2016  10.00000      16
100 2016  56.96000      16
101 2016  27.60000      19
102 2016   3.20000      20
103 2016   5.80000      22
104 2016  11.60000      22
105 2016  12.00000      25
106 2016  26.00000      25
107 2016  12.70000      27
108 2016  25.80000      27
109 2016   7.60000      29
110 2016   1.70000      31
111 2016   4.80000      46
112 2016   5.10000      46
113 2017   7.80000       2
114 2017   9.20000       2
115 2017  10.46000       2
116 2017  11.50000       2
117 2017  16.67000       2
118 2017  36.72000       2
119 2017  99.80000       2
120 2017   0.89000       3
121 2017   3.10000       3
122 2017   3.37000       3
123 2017   3.84000       3
124 2017   4.54000       3
125 2017   5.70000       3
126 2017   6.84000       3
127 2017   7.20000       3
128 2017   9.50000       3
129 2017   9.90000       3
130 2017  10.58000       3
131 2017  12.35000       3
132 2017  13.26000       3
133 2017  13.80000       3
134 2017  16.90000       3
135 2017  17.00000       3
136 2017  21.20000       3
137 2017  26.10000       3
138 2017  27.18000       3
139 2017  29.70000       3
140 2017  30.00000       3
141 2017  30.50000       3
142 2017  33.70000       3
143 2017  34.80000       3
144 2017  46.03000       3
145 2017  57.85000       3
146 2017  64.10000       3
147 2017  65.50000       3
148 2017   5.10000       4
149 2017   6.70000       4
150 2017  10.80000       4
151 2017  29.70000       4
152 2017  31.89000       4
153 2017  41.78000       4
